x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,y
16.96779167,17.29990583,10.84226571,15.51157065,17.61666457,-25.99249562,5.533636215,18.42284346,-19.35210995,13.01814489,0.25564646,14.72182797,11.49333535,-36.36591158,18.97426149,-10.00819605,-6.209602055,12.90763932,13.1381345,3.589614042,-2.91965568,-3.663110602,-6.787069449,-15.24494206,-12.11913334,-5.453543907,6.526746558,27.93504789,4.747586875,-8.550095188,1.89981458,1.122987177,-2.667163037,12.23634888,-13.62043863,1.504395726,-2.509460764,7.382652592,-3.669572053,22.45590463,-1.848692518,13.98000507,-9.398600898,21.17249167,10.18351294,-21.28932612,-2.780214921,8.542006424,12.69160683,-1.768255023,3.379495102
16.78063179,21.94217465,48.65557189,-3.923518708,12.51556263,1.189123423,4.291448188,5.755105477,-18.17752268,13.84299167,4.212876593,23.02660338,6.850484345,-25.49358226,10.85594712,-7.94740683,-7.568499897,13.39035891,22.55419781,5.703099776,-3.90733621,0.248649525,-5.050768076,36.16038468,-3.280111174,2.808726311,18.1950151,21.27081997,9.738200986,10.54221417,6.975244682,10.9442911,-3.200411776,23.1158088,1.383371416,3.817502259,-3.398782027,6.567619785,-9.003577745,12.71126501,-7.390066692,-0.510061864,-6.146813124,32.61998573,-6.198399087,-16.03773284,-2.259004718,0.773315982,22.50556509,26.40696983,-3.249131473
13.98224154,10.52396614,18.32712178,-4.600511039,5.877639717,-18.14689744,6.053160494,17.26344444,-18.06045131,14.3510652,1.822087501,34.87837469,6.818429404,9.593639888,-3.234706191,-7.416524121,3.144110094,-10.2689588,20.68461298,3.796492768,3.641448554,-11.14945553,-5.262807768,12.84380643,17.95533209,7.216760383,24.16980001,35.03166433,8.493504024,7.703122971,4.225393617,2.988441706,-2.73655393,-24.22839467,-4.761389459,10.2139697,-3.957902139,6.95027032,-5.238117793,-9.563178918,0.556979334,23.28208957,-12.55980004,-0.935968261,14.02598489,-15.40414671,3.275130703,7.788847369,14.90407276,5.499794198,-4.640679104
7.605712074,17.5429182,41.86063892,-1.182127433,17.20240118,-6.528175532,4.410898817,23.21319289,-15.1286781,16.0028297,2.028122849,17.50119742,5.802045715,-23.39110627,14.99801143,-7.685664751,11.4941931,13.38827687,-9.435236639,3.763289179,-12.95499636,-11.12213704,-4.295036358,1.856078423,-45.07094419,12.17793011,15.88457505,9.168584024,7.143375141,0.308699765,7.787567879,-2.415006888,-3.680195423,15.80249753,-9.933206066,-2.349471203,-4.040850183,4.81989241,-4.529096159,-1.249846623,0.453153085,-2.296166145,-7.814060834,-0.45432349,9.386956715,11.33922665,-2.967299033,11.19274165,26.43802763,21.69354203,-4.239931742
9.600247405,12.33379749,26.82489737,11.59619886,18.87515084,-17.50093002,7.472530399,18.70246722,-36.21297051,15.13717973,-1.615841608,17.34340486,2.991371632,-13.71541558,-1.317261901,-7.665982175,-0.920834821,30.68456418,-1.531151152,4.310730335,6.921821357,-18.02069697,-6.701513362,7.788656289,-15.6638026,10.72215802,22.31576073,14.54058208,5.589916041,23.03325438,8.983873727,-5.815492429,-5.644638366,11.55345228,-13.7041431,7.402876094,-3.164795724,6.36282342,-4.664602398,17.33031768,-8.511502432,15.09034049,-10.62825068,13.89854131,6.935319486,21.51161099,5.314872858,-2.939000468,9.645769791,44.80676162,1.745010694
11.66806643,9.716481878,18.69979285,-0.114281931,15.58864187,3.104080294,5.473442852,16.33247635,-19.52550805,13.1733579,-2.917589092,-3.940065792,7.486868483,4.012621196,-2.388123354,-7.612305801,-15.61398823,8.457808271,15.61294881,1.690736151,0.747070566,-8.626274478,-6.471708433,-6.89315035,-8.214421829,3.240089883,9.980641612,19.58437823,3.856784039,5.28272062,12.15909121,6.50142472,-4.55086783,25.67219356,0.592018348,4.14892523,-2.446497062,4.340097879,-6.18879819,-5.146475843,-10.47002221,11.27841096,-9.257408455,0.804995258,5.239668101,40.75519009,-8.869333781,3.200045166,20.55104147,-24.0637022,-3.472325615
12.61072841,18.19321131,33.13585366,4.08615756,9.893236036,-9.990165444,7.691540951,16.09192457,-18.13031905,16.58131819,1.793101122,17.72890802,7.559783817,13.92214013,-2.502870169,-7.125759548,3.740027347,-3.059757759,27.05319992,4.307057285,3.889801157,-8.83881091,-5.0098172,0.601480926,3.712297614,12.2593223,12.13156057,32.87136276,9.199880417,2.783581463,15.40843984,8.802442228,-2.333936381,21.7827128,-12.19153948,7.080747133,-4.880869964,6.24295454,-6.61845933,38.24923396,-12.21573834,10.19778912,-3.76444496,4.276411493,22.29193518,4.072315509,-8.122702886,-1.028644692,9.645470543,-38.63328269,5.171270176
20.47432441,12.91322277,-17.26050357,6.79611549,5.669465995,-0.589364124,4.7162976,14.38824602,-10.02112556,15.44948597,-2.404591772,18.55594623,13.85802959,14.27976808,4.323345696,-7.53709329,9.527795464,15.27165039,12.40286319,4.320343017,-0.126299417,-10.69252425,-6.584933188,-9.165314642,-6.993887947,-3.072714298,14.73740836,6.18979166,-9.460979346,24.77795659,10.31462543,-2.387627599,-2.09919615,12.21118142,2.154439578,2.167296664,-3.486919308,6.892916534,-7.330923756,44.03584216,-2.985799053,-4.829384804,-8.601694111,17.11337223,11.66353564,7.654200392,-2.650827894,-3.305333944,19.10853714,15.41716382,-4.775635065
15.12063946,6.362338412,9.857431251,3.507092411,12.05546922,-11.91189454,4.959756401,18.57922347,-22.89769103,14.44432569,-2.941630528,4.772693018,2.70153985,-5.116813629,-9.195429923,-9.595280036,-5.904867702,20.59297206,39.6381772,5.063803221,2.08412557,-9.879230595,-6.043542118,-5.426312918,-0.901856389,11.32133187,19.53566281,21.2018129,-3.973681854,-0.920808787,6.492399478,1.862269572,-1.516076182,14.09761084,9.764511925,5.128410666,-3.06516734,6.330340573,-5.529295736,44.6841295,-3.017567742,-1.653100034,-4.392297645,15.48007259,0.246647479,20.4572011,10.02379203,1.262739984,21.93685294,-11.53680562,-2.282817215
10.02290812,11.27782017,27.41968873,-5.785354148,5.664749302,-15.46071229,6.69442903,18.43674224,-18.53485243,16.47774937,2.254325058,17.92955257,4.890111117,-12.34341399,13.04410476,-8.832994877,9.421959782,21.39721134,32.80412337,1.056890373,-11.65065186,7.484658124,-6.924098459,5.518713768,-14.32599777,8.718551491,14.79941229,22.27999755,-0.466811856,-1.422219079,10.43595722,8.84089588,-1.595083142,22.28410634,-22.28827023,11.23224342,-5.602135301,3.51031472,-8.781681017,27.60213151,5.065147785,-0.702498488,-10.20949263,37.07074763,3.835511355,31.2799402,-8.948365953,-18.79589811,6.628653368,22.02565189,-1.163856069
8.885502818,21.57312072,41.06019672,13.09331758,3.501113772,-18.4842899,7.176824356,22.5734135,-21.37887756,17.22448614,1.731883647,7.808781936,-2.938146969,-4.711005148,11.59588362,-8.222565474,-9.025450232,11.05232171,-7.822515495,7.12781959,5.509855475,-3.663656162,-5.610066445,23.60126921,-1.182853559,3.953172341,9.067946293,9.298745329,17.04535083,-9.061949437,13.90833236,2.811824831,-1.839880967,0.320264771,5.293581242,0.656420071,-2.951273293,5.54873483,-5.308072782,17.00128712,4.990299129,9.32683039,-8.048039902,30.3035,17.74411503,-1.269259307,-11.57990962,-4.793145736,18.20904226,4.367374562,1.376579129
11.68522263,19.65462907,30.40857707,5.869919796,15.13536413,-15.20817596,3.415963683,8.31818773,-16.53193668,14.39796306,-0.91987693,25.52551968,11.59140826,-17.50493071,-2.629858184,-6.971522728,3.153264114,3.089743951,5.083510681,0.478381829,-2.486702785,-9.670801,-6.432199268,7.472339362,5.80492373,13.83761115,5.259096447,13.55988353,-5.683310324,-5.143769941,3.581826267,-9.480541452,-4.566136408,5.53550428,-9.990422334,-18.33199665,-4.076988065,4.760762008,-7.745310191,47.1390786,-3.360841373,5.516869105,-7.282554293,-10.51823014,13.31181722,14.35970925,-7.727388627,11.79726403,25.19050877,33.3485579,-0.886570754
11.65340331,4.037409312,19.76218078,9.394785551,10.50089368,-7.786370702,6.68869699,16.78442018,-33.10453601,13.4554143,-0.602523457,17.93427098,8.386796922,2.880910425,18.87320296,-8.478085479,-2.512456668,9.922649899,29.91932182,3.402372462,-5.212155583,-7.613694595,-6.156618382,8.048139565,-6.094537905,5.827700217,14.08011683,13.54678262,3.698125764,11.03188045,7.296098461,-4.379756503,-1.870503512,4.172401366,-0.091349659,17.70319436,-4.166766017,6.237670801,-5.249204321,34.81163651,-3.57643372,6.761775295,-8.735049493,27.50612849,9.179648645,-10.2290745,0.798417776,19.23509445,19.0103038,-26.58450844,-0.202521435
11.28705723,13.25835444,37.33735386,6.344361491,10.03945042,8.336969345,7.117400033,14.35116348,-37.05604175,12.69919525,-0.825538507,15.81498318,8.802599317,-3.970388267,8.271625575,-8.085103448,-2.789000468,-1.062473885,23.51838993,2.108907551,1.177785588,-0.70396185,-5.851555875,5.034580984,-4.376636934,5.907774119,21.32561831,18.06105115,-0.141514211,-11.43668535,7.366609661,14.58512717,-4.596072836,-2.091483312,-13.96419075,-2.467437256,-3.882571075,6.264777495,-2.300061674,-13.22390786,-12.89932976,11.16021939,-13.28364563,8.528483588,16.8125367,15.4906675,4.065308288,-7.360882681,15.71724358,44.43558893,1.868102293
